Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
"Luz Church Road,Royapettah High Road,Santhome",13.038555733333334,80.2691617,Hotel Clarion,13.043756942291,80.27109624722453,Hotel
"Luz Church Road,Royapettah High Road,Santhome",13.038555733333334,80.2691617,Hotel Saravana Bhavan,13.044409912548184,80.26412494093498,Vegetarian / Vegan Restaurant
"Luz Church Road,Royapettah High Road,Santhome",13.038555733333334,80.2691617,Wangs Kitchen,13.042976243864059,80.26820028931806,Chinese Restaurant
"Luz Church Road,Royapettah High Road,Santhome",13.038555733333334,80.2691617,Nageshwara Rao Park,13.036376658264185,80.26336669921875,Park
"Luz Church Road,Royapettah High Road,Santhome",13.038555733333334,80.2691617,Tandoori Tadakka,13.044468273078097,80.26626233736559,Restaurant
"Luz Church Road,Royapettah High Road,Santhome",13.038555733333334,80.2691617,Novelty Tea House,13.04454759968446,80.26677615252676,Indian Restaurant
"Luz Church Road,Royapettah High Road,Santhome",13.038555733333334,80.2691617,Rayar's Mess,13.035536506033173,80.27296534724285,Indian Restaurant
"Luz Church Road,Royapettah High Road,Santhome",13.038555733333334,80.2691617,Cafe Coffee Day,13.04363159863631,80.2733770165258,Coffee Shop
"Luz Church Road,Royapettah High Road,Santhome",13.038555733333334,80.2691617,Grand Siam,13.04442704534859,80.26680126665723,Thai Restaurant
"Luz Church Road,Royapettah High Road,Santhome",13.038555733333334,80.2691617,Lifestyle,13.043163189317086,80.27381278095699,Department Store
"Luz Church Road,Royapettah High Road,Santhome",13.038555733333334,80.2691617,Illusions - The Madras Pub,13.044466315843708,80.26359936301247,Pub
"Luz Church Road,Royapettah High Road,Santhome",13.038555733333334,80.2691617,Hotel Saravana Bhavan,13.03444822409274,80.26882026718185,Vegetarian / Vegan Restaurant
"Luz Church Road,Royapettah High Road,Santhome",13.038555733333334,80.2691617,Sri Krishna Sweets,13.04461320958606,80.26770050418253,Indian Restaurant
"Luz Church Road,Royapettah High Road,Santhome",13.038555733333334,80.2691617,Kentucky Fried Chicken (KFC),13.043088732717676,80.27397396187186,Fast Food Restaurant
"Luz Church Road,Royapettah High Road,Santhome",13.038555733333334,80.2691617,Thaligai,13.037553,80.26319,Buffet
"Luz Church Road,Royapettah High Road,Santhome",13.038555733333334,80.2691617,MAX,13.03719986410803,80.26669394764018,Clothing Store
"Luz Church Road,Royapettah High Road,Santhome",13.038555733333334,80.2691617,Inox Movies,13.043143746311724,80.27388215231291,Multiplex
"Luz Church Road,Royapettah High Road,Santhome",13.038555733333334,80.2691617,Domino's Pizza,13.044333457026559,80.26885896513717,Pizza Place
"Luz Church Road,Royapettah High Road,Santhome",13.038555733333334,80.2691617,Anjappar,13.044577377473528,80.26579436815783,Indian Restaurant
"Luz Church Road,Royapettah High Road,Santhome",13.038555733333334,80.2691617,Chennai Citi Centre,13.04323246842718,80.27384903381338,Shopping Mall
"Luz Church Road,Royapettah High Road,Santhome",13.038555733333334,80.2691617,Isha Life,13.036741092285311,80.26252784424362,Vegetarian / Vegan Restaurant
"Luz Church Road,Royapettah High Road,Santhome",13.038555733333334,80.2691617,Mylai Sri Karpagambal Mess,13.032904419868622,80.27104025753003,Indian Restaurant
"Luz Church Road,Royapettah High Road,Santhome",13.038555733333334,80.2691617,Barista,13.042857013216148,80.27385950088501,Coffee Shop
"Luz Church Road,Royapettah High Road,Santhome",13.038555733333334,80.2691617,Mahamudra Restaurant,13.036788500874618,80.2625084014036,Indian Restaurant
"Luz Church Road,Royapettah High Road,Santhome",13.038555733333334,80.2691617,Arkay Convention Center,13.038310696765384,80.2676628807915,Concert Hall
"Luz Church Road,Royapettah High Road,Santhome",13.038555733333334,80.2691617,Subway,13.043027689449303,80.2740955277772,American Restaurant
"Luz Church Road,Royapettah High Road,Santhome",13.038555733333334,80.2691617,Kaaraikudi Chettinad Restaurant,13.045102533590251,80.26449189118365,Indian Restaurant
"Luz Church Road,Royapettah High Road,Santhome",13.038555733333334,80.2691617,Sangeetha,13.031806375708834,80.26735652355303,Vegetarian / Vegan Restaurant
"Luz Church Road,Royapettah High Road,Santhome",13.038555733333334,80.2691617,Subway,13.043467328128495,80.27492834000468,Sandwich Place
"Luz Church Road,Royapettah High Road,Santhome",13.038555733333334,80.2691617,Marrybrown,13.037610260108082,80.26487417036961,Fried Chicken Joint
"Luz Church Road,Royapettah High Road,Santhome",13.038555733333334,80.2691617,Aahar,13.041703011503781,80.2680152059345,Indian Restaurant
"Luz Church Road,Royapettah High Road,Santhome",13.038555733333334,80.2691617,Nivedhanam,13.043870859842793,80.26814103126526,Indian Restaurant
"Luz Church Road,Royapettah High Road,Santhome",13.038555733333334,80.2691617,Coastline,13.044871679844578,80.26428623396114,Seafood Restaurant
"Luz Church Road,Royapettah High Road,Santhome",13.038555733333334,80.2691617,Pizza Hut,13.044502437689976,80.26561919499952,Pizza Place
"Luz Church Road,Royapettah High Road,Santhome",13.038555733333334,80.2691617,Deccan Plaza,13.046562736915401,80.26650052872466,Hotel Bar
"Luz Church Road,Royapettah High Road,Santhome",13.038555733333334,80.2691617,Dewberry's,13.04544674678168,80.27180791438467,Italian Restaurant
"Luz Church Road,Royapettah High Road,Santhome",13.038555733333334,80.2691617,Vasantha Bhavan,13.032461134760611,80.26826561276863,Indian Restaurant
"Luz Church Road,Royapettah High Road,Santhome",13.038555733333334,80.2691617,Cafe Coffee Day Gopalapuram,13.03964748756001,80.26276737935514,Café
"Luz Church Road,Royapettah High Road,Santhome",13.038555733333334,80.2691617,Ashvita,13.043734983731946,80.26456832885742,Art Gallery
"Luz Church Road,Royapettah High Road,Santhome",13.038555733333334,80.2691617,Baker's Cafe,13.032173032954345,80.26734019251982,Café
"Luz Church Road,Royapettah High Road,Santhome",13.038555733333334,80.2691617,Gkb Opticals,13.032134449124074,80.26504837296632,Cosmetics Shop
"Luz Church Road,Royapettah High Road,Santhome",13.038555733333334,80.2691617,Chennai Coffee,13.044385793867889,80.26352018461104,Coffee Shop
"Luz Church Road,Royapettah High Road,Santhome",13.038555733333334,80.2691617,Fresh Baked Goodness,13.033772,80.262354,Bakery
"Chepauk,Madras Presidency College,Madras University,Parthasarathy Koil",13.038982875,80.25261247647028,Home Centre by Lifestyle,13.038711594190751,80.25719350719768,Furniture / Home Store
"Chepauk,Madras Presidency College,Madras University,Parthasarathy Koil",13.038982875,80.25261247647028,Stix,13.042897523417743,80.2486404962135,Chinese Restaurant
"Chepauk,Madras Presidency College,Madras University,Parthasarathy Koil",13.038982875,80.25261247647028,Winners Bakery,13.034742001686661,80.2570850429297,Bakery
"Chepauk,Madras Presidency College,Madras University,Parthasarathy Koil",13.038982875,80.25261247647028,Royal Sandwich Shop,13.033749676572398,80.25342570474287,Sandwich Place
"Chepauk,Madras Presidency College,Madras University,Parthasarathy Koil",13.038982875,80.25261247647028,Tangerine,13.039158201036566,80.2556614208548,Restaurant
"Chepauk,Madras Presidency College,Madras University,Parthasarathy Koil",13.038982875,80.25261247647028,Ente Keralam,13.04218774562721,80.25588001004309,Kerala Restaurant
"Chepauk,Madras Presidency College,Madras University,Parthasarathy Koil",13.038982875,80.25261247647028,Crossword,13.037832396300947,80.25651139632515,Bookstore
"Chepauk,Madras Presidency College,Madras University,Parthasarathy Koil",13.038982875,80.25261247647028,Hyatt Regency Chennai,13.042873696920305,80.24859309459823,Hotel
"Chepauk,Madras Presidency College,Madras University,Parthasarathy Koil",13.038982875,80.25261247647028,The Old Madras Baking Company,13.032961404103814,80.25282081757992,Bakery
"Chepauk,Madras Presidency College,Madras University,Parthasarathy Koil",13.038982875,80.25261247647028,Z The Tapas Bar & Restaurant,13.045807861696787,80.25801341570235,Bar
"Chepauk,Madras Presidency College,Madras University,Parthasarathy Koil",13.038982875,80.25261247647028,Kolkatta Chat,13.033282738322159,80.25699084888134,Snack Place
"Chepauk,Madras Presidency College,Madras University,Parthasarathy Koil",13.038982875,80.25261247647028,Lloyds Tea House,13.036074512588637,80.25515585419976,Tea Room
"Chepauk,Madras Presidency College,Madras University,Parthasarathy Koil",13.038982875,80.25261247647028,Nando's,13.046236543084332,80.25626732980982,African Restaurant
"Chepauk,Madras Presidency College,Madras University,Parthasarathy Koil",13.038982875,80.25261247647028,Benjarong,13.031790178437348,80.25184367209168,Thai Restaurant
"Chepauk,Madras Presidency College,Madras University,Parthasarathy Koil",13.038982875,80.25261247647028,Dario's,13.044591973734013,80.25590251171815,Italian Restaurant
"Chepauk,Madras Presidency College,Madras University,Parthasarathy Koil",13.038982875,80.25261247647028,Indian Terrain,13.031154518458374,80.25139960336271,Men's Store
"Chepauk,Madras Presidency College,Madras University,Parthasarathy Koil",13.038982875,80.25261247647028,Teppan At Benjarong,13.031867586430558,80.25179938468844,Japanese Restaurant
"Chepauk,Madras Presidency College,Madras University,Parthasarathy Koil",13.038982875,80.25261247647028,Cream Stone,13.041228890933489,80.25858021797507,Ice Cream Shop
"Chepauk,Madras Presidency College,Madras University,Parthasarathy Koil",13.038982875,80.25261247647028,Focaccia,13.042917161634259,80.24851393407133,Italian Restaurant
"Chepauk,Madras Presidency College,Madras University,Parthasarathy Koil",13.038982875,80.25261247647028,365 A.S @ Hyatt Regency Chennai,13.042872593589117,80.2485080337972,Lounge
"Chepauk,Madras Presidency College,Madras University,Parthasarathy Koil",13.038982875,80.25261247647028,Narada Gana Sabha,13.041440203551193,80.258630304959,Concert Hall
"Chepauk,Madras Presidency College,Madras University,Parthasarathy Koil",13.038982875,80.25261247647028,Ashvita Bistro,13.03282811723683,80.25491365590308,Restaurant
"Chepauk,Madras Presidency College,Madras University,Parthasarathy Koil",13.038982875,80.25261247647028,GRT Grand Hotel,13.040220498482277,80.24508422404584,Hotel
"Chepauk,Madras Presidency College,Madras University,Parthasarathy Koil",13.038982875,80.25261247647028,Double Roti,13.034055029601063,80.24700295037124,Burger Joint
"Chepauk,Madras Presidency College,Madras University,Parthasarathy Koil",13.038982875,80.25261247647028,Fitness One,13.044031364065846,80.25899043479876,Gym
"Chepauk,Madras Presidency College,Madras University,Parthasarathy Koil",13.038982875,80.25261247647028,Ox and Tomato,13.032647,80.252835,Italian Restaurant
"Chepauk,Madras Presidency College,Madras University,Parthasarathy Koil",13.038982875,80.25261247647028,Gangotree,13.041671680938263,80.24425789538928,Indian Restaurant
"Chepauk,Madras Presidency College,Madras University,Parthasarathy Koil",13.038982875,80.25261247647028,Poes Gardens,13.042757651956606,80.25616358391039,Garden
"Chepauk,Madras Presidency College,Madras University,Parthasarathy Koil",13.038982875,80.25261247647028,Juice World,13.03332739070886,80.25693380230105,Juice Bar
"Chepauk,Madras Presidency College,Madras University,Parthasarathy Koil",13.038982875,80.25261247647028,Sheraton Chola Hotel Chennai,13.045870587990002,80.25698630238806,Hotel
"Chepauk,Madras Presidency College,Madras University,Parthasarathy Koil",13.038982875,80.25261247647028,Maris Hotel Chennai,13.04560312930525,80.25782638518567,Hotel
"Chepauk,Madras Presidency College,Madras University,Parthasarathy Koil",13.038982875,80.25261247647028,Fruit Shop on Greams Road,13.046358066318183,80.25613617888791,Juice Bar
"Chepauk,Madras Presidency College,Madras University,Parthasarathy Koil",13.038982875,80.25261247647028,Imagine iStore,13.044340059308322,80.25977858595998,Electronics Store
"Chepauk,Madras Presidency College,Madras University,Parthasarathy Koil",13.038982875,80.25261247647028,Azulia,13.04022417812888,80.24504539807371,Mediterranean Restaurant
"Chepauk,Madras Presidency College,Madras University,Parthasarathy Koil",13.038982875,80.25261247647028,Bay Leaf,13.047546700600272,80.25508267442002,Indian Restaurant
"Chepauk,Madras Presidency College,Madras University,Parthasarathy Koil",13.038982875,80.25261247647028,Lobby Lounge,13.042879160045711,80.24868760439851,Lounge
"Chepauk,Madras Presidency College,Madras University,Parthasarathy Koil",13.038982875,80.25261247647028,10 Downing Street,13.043010910531768,80.24436140898409,Pub
"Chepauk,Madras Presidency College,Madras University,Parthasarathy Koil",13.038982875,80.25261247647028,Paprika Cafe,13.04594569934617,80.2480781099072,Café
"Chepauk,Madras Presidency College,Madras University,Parthasarathy Koil",13.038982875,80.25261247647028,Freeze Zone,13.042956676622032,80.25949809266112,Ice Cream Shop
"Chepauk,Madras Presidency College,Madras University,Parthasarathy Koil",13.038982875,80.25261247647028,The Residency Towers,13.040600690057673,80.2437892725589,Hotel
"Chepauk,Madras Presidency College,Madras University,Parthasarathy Koil",13.038982875,80.25261247647028,China Town,13.04611955966437,80.25812705997566,Chinese Restaurant
"Chepauk,Madras Presidency College,Madras University,Parthasarathy Koil",13.038982875,80.25261247647028,Q Play,13.042773882360402,80.24864453936156,Bowling Alley
"Chepauk,Madras Presidency College,Madras University,Parthasarathy Koil",13.038982875,80.25261247647028,New Town,13.03106376285985,80.25138686109116,Restaurant
"Chepauk,Madras Presidency College,Madras University,Parthasarathy Koil",13.038982875,80.25261247647028,Kalpa Druma,13.04576988677172,80.25713812524188,Arts & Crafts Store
"Chepauk,Madras Presidency College,Madras University,Parthasarathy Koil",13.038982875,80.25261247647028,Courtyard by Marriott Chennai,13.0460041,80.2478248,Hotel
"Chepauk,Madras Presidency College,Madras University,Parthasarathy Koil",13.038982875,80.25261247647028,Gangotree,13.0472419839075,80.25453810828202,Indian Restaurant
"Chepauk,Madras Presidency College,Madras University,Parthasarathy Koil",13.038982875,80.25261247647028,Cafe Coffee Day,13.034184340690734,80.25339234092615,Café
"Chepauk,Madras Presidency College,Madras University,Parthasarathy Koil",13.038982875,80.25261247647028,Don Pepe Tex Mex,13.045616743298325,80.25806365691723,Mexican Restaurant
"Chepauk,Madras Presidency College,Madras University,Parthasarathy Koil",13.038982875,80.25261247647028,Café Coffee Day,13.039853034809859,80.25652835767579,Café
"Chepauk,Madras Presidency College,Madras University,Parthasarathy Koil",13.038982875,80.25261247647028,Samco,13.038096529473918,80.25652624656206,Indian Restaurant
"Chepauk,Madras Presidency College,Madras University,Parthasarathy Koil",13.038982875,80.25261247647028,Bayleaf,13.046656224180579,80.25485147425746,Indian Restaurant
"Chepauk,Madras Presidency College,Madras University,Parthasarathy Koil",13.038982875,80.25261247647028,Domino's Pizza,13.036,80.249,Pizza Place
