Latitude,Longitude,Pincode,Location,Cluster Labels,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
12.9612736,77.6152935,560047,Austin Town,4.0,Indian Restaurant,Tea Room,Hotel,Shopping Mall,Market,Middle Eastern Restaurant,Soccer Stadium,Donut Shop,Café,Italian Restaurant
12.9623214,77.5057232,560056,Mallathahalli,4.0,Breakfast Spot,Andhra Restaurant,Gym,Bakery,Indian Restaurant,South Indian Restaurant,Café,Market,Field,Financial or Legal Service
12.9624669,77.6381958,560071,Domlur,4.0,Indian Restaurant,Café,Italian Restaurant,Pub,Coffee Shop,Hotel,Restaurant,Lounge,Pizza Place,Sports Bar
12.9626925,77.6041603,560025,Richmond Town,4.0,Indian Restaurant,Hotel,Chinese Restaurant,Pub,Bakery,Café,Bar,Coffee Shop,Middle Eastern Restaurant,Restaurant
12.962940849999999,77.57575988493524,560002,Bangalore Fort,4.0,Indian Restaurant,Theater,Flower Shop,Historic Site,Miscellaneous Shop,Market,South Indian Restaurant,Plaza,General Entertainment,Eastern European Restaurant
12.9629437,77.5494998,560026,Goripalya,1.0,Pizza Place,Dessert Shop,Fast Food Restaurant,Movie Theater,Café,Coworking Space,Creperie,Field,Construction & Landscaping,Farmers Market
12.963787700000001,77.65180275216737,560017,NAL,4.0,Indian Restaurant,Café,Fast Food Restaurant,Department Store,Hotel,Coffee Shop,Bar,Juice Bar,Middle Eastern Restaurant,Chinese Restaurant
12.9680027,77.578642,560053,Chickpet,4.0,Indian Restaurant,Theater,Market,Historic Site,Platform,Dessert Shop,Rajasthani Restaurant,Rest Area,Restaurant,Miscellaneous Shop
12.9684441,77.7187843,560037,Kundalahalli,4.0,Indian Restaurant,Fast Food Restaurant,Hotel,Soccer Field,Asian Restaurant,Breakfast Spot,Food,Market,Food Court,Salon / Barbershop
12.9684724,77.5789181,560002,Avenue Road,4.0,Indian Restaurant,Theater,Historic Site,Platform,Dessert Shop,Rajasthani Restaurant,Rest Area,Restaurant,Miscellaneous Shop,Seafood Restaurant
12.9696365,77.7497448,560066,Whitefield,4.0,Gym / Fitness Center,Bakery,Café,Brewery,Hotel Bar,Restaurant,Grocery Store,Eastern European Restaurant,Kerala Restaurant,Indian Restaurant
12.9697622,77.6053042,560025,Museum Road,4.0,Indian Restaurant,Café,Pub,Brewery,Hotel,Chinese Restaurant,Lounge,Ice Cream Shop,Breakfast Spot,Clothing Store
12.9718886,77.54578883887129,560040,"Vijayanagar,Vijayanagar East",4.0,Indian Restaurant,Snack Place,Department Store,Breakfast Spot,Fast Food Restaurant,Miscellaneous Shop,Food Truck,Bus Station,Multiplex,Bakery
12.9730154,77.6166123,560001,Mahatma Gandhi Road,4.0,Hotel,Café,Indian Restaurant,Clothing Store,Chinese Restaurant,Coffee Shop,Ice Cream Shop,Pub,Shopping Mall,Sandwich Place
12.9732913,77.6404672,560038,Indiranagar,4.0,Indian Restaurant,Pub,Ice Cream Shop,Café,Lounge,Bar,Tea Room,Restaurant,Chinese Restaurant,Cocktail Bar
12.9736132,77.6074716,560001,Brigade Road,4.0,Indian Restaurant,Hotel,Café,Clothing Store,Lounge,Bar,Brewery,Pub,Chinese Restaurant,Ice Cream Shop
12.9736956,77.6536931,560075,New Thippasandra,4.0,Indian Restaurant,Chinese Restaurant,Café,Burger Joint,Bakery,Pub,Sandwich Place,Tea Room,Steakhouse,Bar
12.976959149999999,77.5123160731423,560045,Ramakrishna Hegde Nagar,4.0,Café,Mattress Store,Lighthouse,Yoga Studio,Donut Shop,Financial or Legal Service,Field,Fast Food Restaurant,Farmers Market,Event Space
12.97795955,77.58627810771424,560002,Sri Jayachamarajendra Road,4.0,Indian Restaurant,Hotel,Park,Hotel Bar,Capitol Building,Metro Station,Bookstore,Flea Market,Restaurant,Racetrack
12.9791198,77.5912997,560050,"Ashoknagar,Bangalore,Bangalore City,Bellandur,Dr. Ambedkar Veedhi,K.P.West,Shanthinagar",4.0,Indian Restaurant,Hotel,Lounge,Italian Restaurant,Coffee Shop,Café,Mexican Restaurant,Intersection,Park,Metro Station
12.9793573,77.6946688,560037,Doddanekkundi,1.0,Department Store,Coffee Shop,Sandwich Place,Indian Restaurant,Café,BBQ Joint,Breakfast Spot,Mediterranean Restaurant,Fast Food Restaurant,Burrito Place
12.979745399999999,77.59061672797948,560001,Vidhana Soudha,4.0,Indian Restaurant,Coffee Shop,Hotel,Lounge,Metro Station,Sandwich Place,Park,Café,Intersection,Pizza Place
12.98204705,77.5642294415321,560021,Okalipuram,4.0,Indian Restaurant,Platform,Hotel,BBQ Joint,Bus Station,Motorcycle Shop,Train Station,Metro Station,Clothing Store,Pizza Place
12.9821931,77.6083132,560001,Narayan Pillai Street,4.0,Indian Restaurant,Café,Lounge,Pub,Bar,Clothing Store,Chinese Restaurant,Hotel,Pizza Place,Jewelry Store
12.9823617,77.5226376,560079,Kamakshipalya,1.0,ATM,Breakfast Spot,Fast Food Restaurant,Bus Station,Campground,Donut Shop,Financial or Legal Service,Field,Farmers Market,Event Space
12.9856478,77.6649767,560093,C.V.Raman Nagar,4.0,Indian Restaurant,Department Store,Café,Fast Food Restaurant,Coffee Shop,Clothing Store,Shopping Mall,Food Court,Snack Place,Smoke Shop
12.9882338,77.554883,560010,Rajajinagar,4.0,Indian Restaurant,Café,Bakery,Breakfast Spot,Fast Food Restaurant,BBQ Joint,Asian Restaurant,Park,Hotel,Pizza Place
12.9889098,77.4492453,562130,Kadabagere,2.0,Indian Restaurant,Yoga Studio,Dive Bar,Flea Market,Financial or Legal Service,Field,Fast Food Restaurant,Farmers Market,Event Space,Event Service
12.9890242,77.4718714,560023,Magadi Road,4.0,Auto Workshop,Gas Station,Resort,Circus,Indian Restaurant,Electronics Store,Donut Shop,Dry Cleaner,Dumpling Restaurant,Eastern European Restaurant
12.9908787,77.70512615869652,560010,Industrial Estate,4.0,Indian Restaurant,Gym,Sporting Goods Shop,Bakery,Breakfast Spot,Auto Workshop,Office,Grocery Store,Café,Performing Arts Venue
12.9919033,77.7162015,560048,Hoodi,4.0,Indian Restaurant,Hotel,Coffee Shop,Diner,Cocktail Bar,Soccer Field,Platform,Brewery,Japanese Restaurant,English Restaurant
12.992415999999999,77.5963467,560052,Vasanthnagar,4.0,Indian Restaurant,Coffee Shop,Café,Chinese Restaurant,Intersection,Bakery,Dessert Shop,Italian Restaurant,Pizza Place,Hotel
12.9931876,77.5753419,560020,Seshadripuram,4.0,Indian Restaurant,Café,Clothing Store,Hotel,Ice Cream Shop,Vegetarian / Vegan Restaurant,Fast Food Restaurant,Karnataka Restaurant,Electronics Store,Art Gallery
12.9934976,77.6924156,560048,Mahadevapura,1.0,Clothing Store,Coffee Shop,French Restaurant,Fast Food Restaurant,Donut Shop,Café,Bus Station,Shopping Mall,Bowling Alley,Lounge
12.9937572,77.5391325,560079,Basaveshwaranagar,4.0,Indian Restaurant,Ice Cream Shop,Fast Food Restaurant,Snack Place,Bus Station,Pizza Place,Café,Chinese Restaurant,Juice Bar,Asian Restaurant
12.9954832,77.6208684,560005,Jeevanahalli,4.0,Indian Restaurant,Café,Middle Eastern Restaurant,Chinese Restaurant,Coffee Shop,Pizza Place,Pub,BBQ Joint,Bakery,Ice Cream Shop
12.997803,77.6041749,560046,Benson Town,4.0,Ice Cream Shop,Tea Room,Café,Indian Restaurant,Chinese Restaurant,Event Space,Bookstore,Snack Place,Electronics Store,Food Truck
12.9985767,77.7609716,560067,Kadugodi,1.0,Hotel,Train Station,Pizza Place,Bus Station,Dry Cleaner,Dumpling Restaurant,Eastern European Restaurant,Electronics Store,English Restaurant,Event Service
12.9991087,77.579517,560003,Palace Guttahalli,4.0,Indian Restaurant,Café,Vegetarian / Vegan Restaurant,Hotel,Department Store,Ice Cream Shop,Lounge,Food & Drink Shop,Chaat Place,Plaza
13.0005089,77.6753945,560036,"Krishnarajapuram,Krishnarajapuram R S",1.0,ATM,Bus Station,Fast Food Restaurant,Mattress Store,Indian Restaurant,Donut Shop,Financial or Legal Service,Field,Farmers Market,Event Space
13.0005247,77.5496568,560010,Rajajinagar I Block,4.0,Café,Fast Food Restaurant,Vegetarian / Vegan Restaurant,Indian Restaurant,Chinese Restaurant,Light Rail Station,Electronics Store,Beer Bar,Bakery,Restaurant
13.0026552,77.6347376,560033,Maruthi Sevanagar,1.0,Fast Food Restaurant,Café,Train Station,Multiplex,Lounge,Clothing Store,Shopping Mall,Farmers Market,Event Space,Event Service
13.0027353,77.5703253,560003,"Malleswaram,Malleswaram West",4.0,Indian Restaurant,Vegetarian / Vegan Restaurant,Ice Cream Shop,Coffee Shop,Breakfast Spot,Dessert Shop,Chinese Restaurant,Café,Department Store,South Indian Restaurant
13.0029165,77.5464264,560086,Mahalakshmipuram Layout,4.0,Indian Restaurant,Café,Chinese Restaurant,Vegetarian / Vegan Restaurant,Pizza Place,Fast Food Restaurant,Grocery Store,Clothing Store,Snack Place,Food Truck
13.0077079,77.5795893,560080,Sadashivanagar,4.0,Coffee Shop,Indian Restaurant,Café,Dessert Shop,Department Store,Fast Food Restaurant,Gym,Ice Cream Shop,Flea Market,Nightclub
13.01061485,77.57081951019086,560003,Aranya Bhavan,4.0,Ice Cream Shop,Indian Restaurant,Coffee Shop,Fast Food Restaurant,Vegetarian / Vegan Restaurant,South Indian Restaurant,Café,Department Store,Yoga Studio,Playground
13.0117678,77.6278288,560084,Lingarajapuram,4.0,Kerala Restaurant,Indian Restaurant,Hotel,Paper / Office Supplies Store,Fast Food Restaurant,Andhra Restaurant,Bakery,Burger Joint,Café,Steakhouse
13.0120218,77.6777817,560016,Ramamurthy Nagar,4.0,ATM,Bakery,South Indian Restaurant,Supermarket,Indian Restaurant,English Restaurant,Dumpling Restaurant,Eastern European Restaurant,Electronics Store,Event Space
13.0141618,77.6518539,560043,Banaswadi,4.0,Indian Restaurant,Kerala Restaurant,Café,Department Store,Bus Station,Chinese Restaurant,Bistro,Arts & Crafts Store,Convenience Store,Pizza Place
13.0152581,77.617511,560045,Venkateshapura,1.0,Pharmacy,Pet Store,Indie Movie Theater,Diner,Field,Fast Food Restaurant,Farmers Market,Event Space,Event Service,English Restaurant
13.0194939,77.7660515,560013,H M T,1.0,Department Store,Shopping Plaza,Fast Food Restaurant,Ice Cream Shop,Indian Restaurant,Asian Restaurant,Restaurant,Electronics Store,Dry Cleaner,Dumpling Restaurant
13.0215083,77.7000989,560049,Thambuchetty Palya,4.0,Indian Restaurant,Hotel,Pizza Place,Café,Bakery,Convenience Store,Historic Site,Financial or Legal Service,Fast Food Restaurant,Farmers Market
13.022234699999998,77.56718324768107,560012,Science Institute,4.0,Ice Cream Shop,Indian Restaurant,Chinese Restaurant,Fast Food Restaurant,Coffee Shop,Asian Restaurant,Breakfast Spot,Burger Joint,Sandwich Place,Bar
13.0251833,77.5920609,560032,R T Nagar,4.0,Indian Restaurant,Fast Food Restaurant,Vegetarian / Vegan Restaurant,Pizza Place,Café,Tennis Court,Snack Place,Bistro,Bus Station,Resort
13.0258004,77.714279,560049,Bhattarahalli,4.0,Café,Hotel,Pizza Place,Indian Restaurant,Event Service,Electronics Store,Donut Shop,Dry Cleaner,Dumpling Restaurant,Eastern European Restaurant
13.0273312,77.6601508,560043,Horamavu,1.0,Badminton Court,Athletics & Sports,Andhra Restaurant,Gym,Kerala Restaurant,Department Store,English Restaurant,Dry Cleaner,Dumpling Restaurant,Eastern European Restaurant
13.0284078,77.5408961,560022,Goraguntepalya,1.0,Fast Food Restaurant,Multiplex,Department Store,Seafood Restaurant,Miscellaneous Shop,Food Court,Spa,Bar,Restaurant,Mediterranean Restaurant
